Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Microsoft Corp,MSFT,1.85,2/12/2020,1.6105026,1.60574973,CALLABLE,1500000000,USD,US,2/9/2015,FIXED,AAA,Aaa
Howard Hughes Medical Institute,HUGHES,3.5,9/1/2023,2.5477413,2.5477413,AT MATURITY,1200000000,USD,US,7/16/2013,FIXED,AAA,#N/A N/A
Johnson & Johnson,JNJ,5.55,8/15/2017,0.7297776,0.7297776,AT MATURITY,1000000000,USD,US,8/13/2007,FIXED,AAA,Aaa
Microsoft Corp,MSFT,3.75,2/12/2045,4.148546,4.148546,CALLABLE,1750000000,USD,US,2/9/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,3,10/1/2020,1.4685339,1.4685339,AT MATURITY,1000000000,USD,US,9/22/2010,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,2.15,5/15/2016,0.4172944324,0.4172944324,AT MATURITY,900000000,USD,US,5/17/2011,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,4.5,12/5/2043,3.7788981,3.7719726,CALLABLE,500000000,USD,US,12/2/2013,FIXED,AAA,Aaa
President and Fellows of Harvard College,HARVRD,6.5,1/15/2039,3.7008125,3.7008125,AT MATURITY,500000000,USD,US,12/5/2008,FIXED,AAA,Aaa
William Marsh Rice University,RICEUN,3.574,5/15/2045,3.6614559688,3.6650476677,SINKABLE,340000000,USD,US,4/15/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,0.875,11/15/2017,0.7208713,0.7208713,AT MATURITY,600000000,USD,US,11/2/2012,FIXED,AAA,Aaa
Massachusetts Institute of Technology,MASSIN,4.678,7/1/2114,4.3369808,4.3369808,AT MATURITY,550000000,USD,US,4/1/2014,FIXED,AAA,#N/A N/A
Johnson & Johnson,JNJ,4.85,5/15/2041,3.7939562,3.7939562,AT MATURITY,300000000,USD,US,5/17/2011,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,4.375,12/5/2033,3.5224839,3.5058905,CALLABLE,850000000,USD,US,12/2/2013,FIXED,AAA,Aaa
Princeton University,PRNCTN,4.95,3/1/2019,1.5301757,1.5301757,AT MATURITY,500000000,USD,US,1/13/2009,FIXED,AAA,Aaa
Microsoft Corp,MSFT,3.5,11/15/2042,4.1830479,4.1830479,AT MATURITY,900000000,USD,US,11/2/2012,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,2.95,9/1/2020,1.6363584,1.6363584,AT MATURITY,550000000,USD,US,8/12/2010,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,2.95,9/1/2020,1.6363584,1.6363584,AT MATURITY,550000000,USD,US,8/12/2010,FIXED,AAA,Aaa
Johnson & Johnson,JNJ,1.125,11/21/2017,0.8310547,0.8310547,AT MATURITY,700000000,USD,US,11/18/2014,FIXED,AAA,Aaa
